@relation Churn_train-weka.filters.unsupervised.instance.RemoveFolds-S0-N10-F1-weka.filters.unsupervised.instance.Resample-S1-Z100.0

@attribute CreditScore numeric
@attribute Age numeric
@attribute Tenure numeric
@attribute Balance numeric
@attribute NumOfProducts numeric
@attribute HasCrCard numeric
@attribute IsActiveMember numeric
@attribute EstimatedSalary numeric
@attribute Exited {Stay,Exit}

@data
730,35,0,155470.55,1,1,1,53718.28,Stay
646,46,4,0,3,1,0,93251.42,Exit
643,59,3,170331.37,1,1,1,32171.79,Stay
806,59,0,135296.33,1,1,0,182822.5,Stay
696,28,8,0,1,0,0,176713.47,Stay
685,23,8,0,2,1,1,112239.03,Stay
683,33,8,0,1,0,0,73564.44,Stay
582,32,1,88938.62,1,1,1,10054.53,Stay
569,38,7,0,1,1,1,108469.2,Stay
634,24,8,103097.85,1,1,1,157577.29,Stay
675,21,8,98373.26,1,1,0,18203,Stay
785,28,8,0,2,1,0,77231.27,Stay
706,42,9,0,2,1,1,28714.34,Stay
682,26,0,110654.02,1,0,1,111879.21,Stay
555,33,1,56084.69,2,0,0,178798.13,Stay
585,67,5,113978.97,2,0,1,93146.11,Stay
524,36,10,0,2,1,0,109614.57,Stay
557,32,6,184686.41,2,1,0,14956.44,Stay
773,41,9,102827.44,1,0,1,64595.25,Stay
687,34,7,111388.18,2,1,0,148564.76,Stay
745,45,10,117231.63,3,1,1,122381.02,Exit
663,44,2,117028.6,2,0,1,144680.18,Stay
652,80,4,0,2,1,1,188603.07,Stay
413,34,9,0,2,0,0,6534.18,Stay
512,40,5,0,2,1,1,146457.83,Stay
637,37,8,0,1,1,1,186062.36,Stay
511,58,0,149117.31,1,1,1,162599.51,Stay
539,37,2,127609.59,1,1,0,98646.22,Stay
516,35,10,104088.59,2,0,0,119666,Stay
687,35,8,0,2,1,0,10334.05,Stay
550,37,3,0,1,1,1,179670.31,Stay
613,45,1,187841.99,2,1,1,147224.27,Stay
694,31,10,0,2,1,0,160990.27,Stay
822,50,7,0,2,1,1,10062.8,Stay
443,29,9,99027.61,2,1,0,10940.4,Stay
506,36,5,0,2,1,0,164253.35,Stay
687,34,7,111388.18,2,1,0,148564.76,Stay
525,57,2,145965.33,1,1,1,64448.36,Stay
735,21,1,178718.19,2,1,0,22388,Stay
626,37,6,108269.37,1,1,0,5597.94,Stay
626,26,8,0,2,0,0,191420.71,Stay
